PDP2,
PDPR,
ACLY,"hsa00020,hsa00720"
ACO1,"hsa00020,hsa00630,hsa00720"
ACO2,"hsa00020,hsa00630,hsa00720"
AGL,hsa00500
ALDOA,"hsa00010,hsa00030,hsa00051,hsa00710"
ALDOB,"hsa00010,hsa00030,hsa00051,hsa00710"
ALDOC,"hsa00010,hsa00030,hsa00051,hsa00710"
BPGM,hsa00010
CS,"hsa00020,hsa00630"
DLAT,"hsa00010,hsa00252,hsa00620"
DLD,"hsa00010,hsa00020,hsa00252,hsa00260,hsa00280,hsa00620"
DLST,"hsa00020,hsa00310"
ENO1,hsa00010
ENO2,hsa00010
ENO3,hsa00010
FBP1,"hsa00010,hsa00030,hsa00051,hsa00710,hsa04910"
FBP2,"hsa00010,hsa00030,hsa00051,hsa00710,hsa04910"
Fh1,0
G6PC,"hsa00010,hsa00052,hsa00500,hsa04910,hsa04920"
G6PC3,
G6pdx,0
GALM,hsa00010
GAPDHS,
GBE1,hsa00500
GCK,"hsa00010,hsa00052,hsa00500,hsa00521,hsa04910,hsa04930,hsa04950"
Gpi1,0
GSK3A,
GSK3B,"hsa04012,hsa04110,hsa04310,hsa04340,hsa04360,hsa04510,hsa04662,hsa04910,hsa04916,hsa05010,hsa05210,hsa05213,hsa05215,hsa05217"
GYS1,"hsa00500,hsa04910"
GYS2,"hsa00500,hsa04910"
H6PD,hsa00030
HK2,"hsa00010,hsa00051,hsa00052,hsa00500,hsa00521,hsa00530"
HK3,"hsa00010,hsa00051,hsa00052,hsa00500,hsa00521,hsa00530"
IDH1,"hsa00020,hsa00480,hsa00720"
IDH2,"hsa00020,hsa00480,hsa00720"
IDH3A,hsa00020
IDH3B,hsa00020
IDH3G,hsa00020
MDH1,"hsa00020,hsa00620,hsa00630,hsa00710,hsa00720"
MDH1B,
MDH2,"hsa00020,hsa00620,hsa00630,hsa00710,hsa00720"
OGDH,"hsa00020,hsa00310,hsa00380"
PCK1,"hsa00020,hsa00620,hsa03320,hsa04910,hsa04920"
PCK2,"hsa00020,hsa00620,hsa03320,hsa04910,hsa04920"
Pcx,0
PDHA1,"hsa00010,hsa00252,hsa00290,hsa00620,hsa00650"
PDHB,"hsa00010,hsa00252,hsa00290,hsa00620,hsa00650"
PDK1,"hsa04660,hsa04664"
PDK2,
PDK3,
PDK4,
PFKL,"hsa00010,hsa00030,hsa00051,hsa00052,hsa04910"
PGAM2,hsa00010
PGK1,"hsa00010,hsa00710"
PGK2,"hsa00010,hsa00710"
PGM1,"hsa00010,hsa00030,hsa00052,hsa00500,hsa00521"
PGM2,hsa00051
PGM3,"hsa00010,hsa00030,hsa00052,hsa00500,hsa00521"
PHKA1,"hsa04020,hsa04910"
PHKB,"hsa04020,hsa04910"
PHKG1,"hsa04020,hsa04910"
PHKG2,"hsa04020,hsa04910"
PKLR,"hsa00010,hsa00230,hsa00620,hsa00710,hsa04910,hsa04930,hsa04950"
PRPS1,"hsa00030,hsa00230,hsa00340"
PRPS1L1,"hsa00030,hsa00230"
PRPS2,"hsa00030,hsa00230,hsa00340"
PYGL,"hsa00500,hsa04910"
PYGM,"hsa00500,hsa04910"
Rbks,0
RPE,"hsa00030,hsa00040,hsa00710"
RPIA,"hsa00030,hsa00710"
SDHA,"hsa00020,hsa00190"
SDHB,"hsa00020,hsa00190"
SDHC,"hsa00020,hsa00190"
SDHD,"hsa00020,hsa00190"
SUCLA2,"hsa00020,hsa00640,hsa00660,hsa00720"
SUCLG1,"hsa00020,hsa00640"
SUCLG2,"hsa00020,hsa00640"
TALDO1,hsa00030
TKT,"hsa00030,hsa00710"
TPI1,"hsa00010,hsa00031,hsa00051,hsa00710"
UGP2,"hsa00040,hsa00052,hsa00500,hsa00520"
GUSB,"hsa00040,hsa00500,hsa00531,hsa00860,hsa01032"
Hprt,0
HSP90AB1,hsa04612
GAPDH,"hsa00010,hsa01510,hsa05010,hsa05040,hsa05050"
ACTB,"hsa01430,hsa04510,hsa04520,hsa04530,hsa04670,hsa04810,hsa05130,hsa05131"
MGDC,0
